,year,title,authors,country,location,study_area,rewilding_area,area_certain,area_all,m_e,keywords,interest,social-subgroup,control,sites,duration,methods_named,methods,response_variables_named,response_variables,social-subgroup-ev,notes
84,2023,Mini Safe Havens for population recovery and reintroductions 'beyond-the-fence',"Smith, K.J., Evans, M.J., Gordon, I.J., Pierson, J.C., Stratford, S. Manning, A.D.",Australia,"Mulligans Flat Woodland Sanctuary, Australian Capital Territory (ACT, -35.1642, 149.1668)",485,NA,485,485,ME,"Predator-proof fence Refuge Soft-release Spillover effect Translocation tactics Trophic rewilding",Mammals,NA,NO,1,2,"Experimental trials
Live relay camera Recapture
Remote camera
Remote microchip scanners
Radio tracking","Fieldwork
Experiment
Wildlife tracking","Population survival probability Body mass
Frequency of detection",Species,NA,"Mini safe havens (MSH) for managing reintroduced prey species Landscape type = woody grassland"
89,2021,"Ten years on: have large carnivore reintroductions to the Eastern Cape Province, South Africa, worked?","Banasiak, N.M., Hayward, M.W. Kerley, G.I",South Africa,Eastern Cape Province,528600,NA,NA,528600,E,"Rewilding Translocation Lion Leopard Hyaena",Mammals,NA,NO,16,1,Interviews,Consultation,"Number of reintroduction projects
Reintroduction objectives Population size
Population density","Other
Distribution",NA,"Interviews with managers of reserves with reintroductions found in a previous literature review  Duration - 1 period of interviews, but based on a 10 year gap since last evaluation"
105,2020,Spatial patterns of the first groups of collared peccaries (Pecari tajacu) reintroduced in South America,"Hurtado, C.M., Beck, H., Thebpanya, P. Altrichter, M.",Argentina,"Ibera National Park (28° 32′ S, 57° 10′ W)",12400,1390000,12400,12400,ME,"Argentina Habitat selection Home range Post-release Reintroduction biology Site-fidelity",Mammals,NA,NO,1,2,Radio tracking,Wildlife tracking,"Site fidelity Home range
Habitat classification","Behaviour
Distribution
Habitat structure",NA,
107,2017,Using ecosystem engineers as tools in habitat restoration and rewilding: beaver and wetlands,"Law, A., Gaywood, M.J., Jones, K.C., Ramsay, P. Willby, N.J.",UK,"Blairgowrie in eastern Scotland, (56°37′32.81″N, 3°13′36.72″W)",525,NA,525,525,ME,"Castor fiber Agriculture Species richness Diversity Grazing Exclosure","Plants
Mammals",NA,YES,1,12,"Exclosure experiment
Vegetation surveys","Experiment
Fieldwork","Species richness
Species accumulation
Community composition Mean coverage by species Soil moisture
Light
Nitrogen","Diversity
Distribution
Abiotic",NA,Control = comparison of sites to ungrazed exclosures to allow “the wider influence of waterlogging to be separated from disturbance through tree felling and herbivory.”
116,2022,"Introduction of giant tortoises as a replacement ecosystem engineer to facilitate restoration of Santa Fe Island, Galapagos","Tapia, W., Goldspiel, H.B. Gibbs, J.P.",Ecuador,Santa Fe Island - Galapagos Islands,2413,NA,2413,2413,E,"Chelonoidis Conolophus pallidus Cactus Opuntia echios Galapagos giant tortoise Land iguana Replacement species Rewilding Santa Fe Island","Reptiles
Plants",NA,YES,1,5,"Mark recapture
Transect surveys",Fieldwork,"Population size
Weight
Apparent survival
Growth rate Dispersal distance
Number of cacti Changes in vegetation parameters:
Iguana and tortoise feces
Woody plant regeneration
Grass cover
Herbaceous plant cover
Opuntia fruit, cladode, and regeneration","Species
Distribution
Habitat structure",NA,Control = vegetation plots fenced and unfenced to admit different species
121,2022,Active versus passive restoration: Forests in the southern Carpathian Mountains as a case study,"Hartup, J., Ockendon, N. Pettorelli, N.",Romania,Fǎgǎraș Mountains,26693,NA,26693,26693,ME,"Restoration
Rewilding
Satellite remote sensing
Land cover
Environmental monitoring
Forests",Plants,NA,YES,1,12,"Satellite imagery
NVDI",Remote sensing,"Habitat classification
Forest cover",Habitat structure,NA,"Control = Comparison of active and passive restoration
Duration = 250m resolution satellite imagery captured every 16-days between 2009 (the year FCC was founded) and 2021"
141,2017,Refaunation and the reinstatement of the seed-dispersal function in Gorongosa National Park,"Correia, M., Timóteo, S., Rodríguez‐Echeverría, S., Mazars‐Simon, A. Heleno, R.",Mozambique,Gorongosa National Park,6200,406700,6200,6200,E,"Africa
Defaunation
Ecological restoration
Frugivory
Large herbivores
Rewilding
Wildlife sanctuary","Mammals Plants",NA,YES,1,1,"Transect surveys
Scat samples
DNA barcoding","Fieldwork
DNA methods","Species accumulation
Network of seed dispersal
Animal linkage level","Diversity
Ecosystem",NA,Control = comparing inside and outside sanctuary
149,2023,Recolonizing native wildlife facilitates exotic plant invasion into Singapore's rain forests,"Ho, C., Dehaudt, B., Lee, B.P., Tan, H.Y.R. Luskin, M.S.",Singapore,"1°21″07.6′′N, 103°49″11.3″E",NA,NA,NA,NA,E,"Clidemia
Faunal reintroduction
Human disturbances
Miconia crenata
Plant invasion
Tropical rain forests
Weed management
Wild pig","Mammals Plants",NA,YES,11,1,Transect surveys ,Fieldwork,"Plant count
Plant density",Distribution,NA,Control = pigs had not recolonized (or were absent from) 3 of the 11 fragments
202,2022,Herbivore exclusion and active planting stimulate reed marsh development on a newly constructed archipelago,"Temmink, R.J., van den Akker, M., van Leeuwen, C.H., Thöle, Y., Olff, H., Reijers, V.C., Weideveld, S.T., Robroek, B.J., Lamers, L.P. Bakker, E.S.,",Netherlands,Lake Markermeer - coordinates 52◦35′ 30′′N 5◦22′ 43′′E,700,NA,700,700,E,"Exclosure
Greenhouse gas fluxes
Marker Wadden
Phragmites australis
Restoration
Rewilding","Plants
Birds
Abiotic",NA,YES,1,1,"Full-factorial field experiment
Vegetation surveys
Soil samples","Fieldwork
Experiment","Vegetation cover
Reed shoot number
Maximum reed height
CO2 flux
CH4 flux
Net ecosystem exchange
Ecosystem respiration","Habitat structure
Abiotic
Ecosystem",NA,Sampling units = 6 replicated blocks of 4 treatments
209,2023,Narratives of land abandonment in a biocultural landscape of Spain,"Quintas-Soriano, C., Torralba, M., García-Martín, M. Plieninger, T.,",Spain,"Las Hurdes, located in Extremadura",NA,NA,NA,NA,E,"Agricultural abandonment
Biocultural diversity
Cultural heritage
Human nature connectedness
Cultural
values
Spain",Social,"Socio-economic
Human-nature 
Culture",NO,1,1,Social survey,Consultation,"Narrative
Socio-cultural characteristics
Perceptions of landscape changes
Perceived drivers of land use change
Perceptions of nature’s contributions to people",Social,"Culture
Human-nature","Site = 1, quite large region with interviews across multiple sites"
